team,team_id,match_id,outcome,won,N,S,N_eff,N_eff_frac,team_sf
Celta Vigo,209,3894806,lost,0,16,0.9563653169895147,13.021792578866997,0.8138620361791873,0.16789215686274508
Celta Vigo,209,3894841,win,1,16,0.9396896894476274,12.070595127757448,0.7544121954848405,0.1942257217847769
Celta Vigo,209,3894892,win,1,16,0.948231218909899,12.522540897465785,0.7826588060916115,0.16359918200409
Celta Vigo,209,3894735,lost,0,16,0.9644976158742726,13.283750765893865,0.8302344228683666,0.23183760683760685
Celta Vigo,209,3894657,lost,0,13,0.9548791376770966,10.84342758471833,0.8341098142091024,0.21012658227848102
Celta Vigo,209,3894838,lost,0,16,0.9352055928495299,11.906259903723411,0.7441412439827132,0.14319620253164558
Celta Vigo,209,3894707,lost,0,16,0.9655287975209648,13.32333183652065,0.8327082397825406,0.17783985102420857
Celta Vigo,209,3894827,draw,0,16,0.9598369497802194,13.286572879421696,0.830410804963856,0.13414634146341464
Celta Vigo,209,3894789,win,1,15,0.9504898068297805,11.945125648592727,0.7963417099061818,0.13358778625954199
Celta Vigo,209,3894774,lost,0,16,0.935902941183204,11.780131681339347,0.7362582300837092,0.2591623036649215
Celta Vigo,209,3894687,draw,0,15,0.9668679997861048,12.772055092859631,0.8514703395239754,0.2275064267352185
Celta Vigo,209,3894692,win,1,14,0.9491857648421136,11.062536211803247,0.7901811579859462,0.27958579881656803
Celta Vigo,209,3894544,draw,0,15,0.9609609984460465,12.536322879005722,0.8357548586003815,0.23391089108910892
Celta Vigo,209,3894603,lost,0,14,0.9599577810214912,11.654667055215208,0.8324762182296578,0.2791519434628975
Celta Vigo,209,3894566,win,1,14,0.9426169800588728,11.056418278149168,0.7897441627249406,0.18797953964194372
Celta Vigo,209,3894554,lost,0,14,0.9563942647904667,11.640693268132903,0.8314780905809217,0.21119592875318066
Valencia,207,3894734,win,1,15,0.9545969828976624,12.26695086957402,0.8177967246382679,0.23803827751196172
Valencia,207,3894782,win,1,15,0.9682185871455617,13.006969008033007,0.8671312672022005,0.2535612535612536
Valencia,207,3894724,win,1,16,0.9450437968837091,12.077896702060972,0.7548685438788107,0.2857142857142857
Valencia,207,3894636,draw,0,15,0.9471420780152817,11.970143176611588,0.7980095451074392,0.21678321678321677
Valencia,207,3894695,draw,0,15,0.9330217505743614,11.311089309142018,0.7540726206094679,0.2646239554317549
Valencia,207,3894599,lost,0,16,0.9696675972894738,13.826248420187017,0.8641405262616886,0.1842696629213483
Valencia,207,3894812,lost,0,16,0.9600457243379006,12.935172949329242,0.8084483093330777,0.19696969696969696
Valencia,207,3894556,lost,0,15,0.9583042030506134,12.292837355645084,0.819522490376339,0.1777583187390543
Valencia,207,3894539,win,1,16,0.946234542372073,12.384194764845503,0.774012172802844,0.21534653465346534
Valencia,207,3894645,win,1,15,0.9373742789600257,11.49233628994968,0.766155752663312,0.20495495495495494
Valencia,207,3894833,win,1,15,0.930560766431686,11.226284844856295,0.7484189896570863,0.27391304347826084
Valencia,207,3894752,win,1,15,0.9530497377374864,12.029411516481373,0.8019607677654249,0.19285714285714287
Valencia,207,3894596,lost,0,15,0.9619760479043182,12.284981096136748,0.8189987397424499,0.23237597911227154
Valencia,207,3894655,lost,0,16,0.9671821431277562,13.521797573942736,0.845112348371421,0.15625
Valencia,207,3894562,draw,0,16,0.9473122744636242,12.195221862806369,0.762201366425398,0.16318785578747627
Valencia,207,3894705,win,1,15,0.9505258887820046,11.986336446913404,0.7990890964608935,0.24393530997304583
Valencia,207,3894901,lost,0,16,0.938680893689958,12.008679378718357,0.7505424611698973,0.17553191489361702
Valencia,207,3894863,lost,0,16,0.9527216663985427,12.572909583912182,0.7858068489945114,0.2127659574468085
Valencia,207,3894740,lost,0,15,0.9262048402095152,10.705779299790933,0.7137186199860622,0.15384615384615385
Valencia,207,3894660,draw,0,16,0.9389176441663204,11.945362731941938,0.7465851707463711,0.1880907372400756
Valencia,207,3894828,draw,0,16,0.9475535559184021,12.501067016778999,0.7813166885486874,0.18147448015122875
Valencia,207,3894876,draw,0,15,0.9432671862049753,11.456327135391962,0.7637551423594642,0.23702830188679244
Valencia,207,3894679,lost,0,15,0.946800837807851,11.887060237080256,0.792470682472017,0.37244897959183676
Valencia,207,3894854,lost,0,16,0.9566179839066201,12.946578430812059,0.8091611519257537,0.33910891089108913
Valencia,207,3894759,lost,0,15,0.9646572007854403,12.73998841078693,0.8493325607191287,0.3091216216216216
Valencia,207,3894616,draw,0,15,0.9503084936472128,12.159378064748152,0.8106252043165435,0.21734892787524365
Valencia,207,3894795,draw,0,15,0.9506465751363012,11.983320342760065,0.798888022850671,0.23668639053254437
Valencia,207,3894582,draw,0,14,0.9574792978235453,11.503598656039035,0.8216856182885025,0.21428571428571427
Valencia,207,3894891,lost,0,16,0.9535544706180781,12.650743666393332,0.7906714791495832,0.15463917525773196
Valencia,207,3894673,lost,0,15,0.9458325780428797,11.875341088593514,0.7916894059062343,0.296
Valencia,207,3894576,win,1,16,0.9545119633016655,13.033290730264769,0.814580670641548,0.2369146005509642
Valencia,207,3894531,win,1,15,0.937478096350148,11.361387892365695,0.7574258594910463,0.2603626943005181
Valencia,207,3894805,win,1,16,0.9499619184246374,12.806340357374882,0.8003962723359301,0.22988505747126436
Valencia,207,3894847,lost,0,16,0.9652016397653849,13.305217622743953,0.8315761014214971,0.18227091633466136
Valencia,207,3894714,win,1,16,0.9301266941566118,11.809708180580593,0.738106761286287,0.18191964285714285
Valencia,207,3894771,draw,0,15,0.9281329210424673,11.092552765489177,0.7395035176992785,0.1426332288401254
Valencia,207,3894881,lost,0,16,0.9513989500542052,12.585174140826016,0.786573383801626,0.2072892938496583
Valencia,207,3894621,win,1,14,0.9424457486885242,10.922249014622869,0.7801606439016335,0.11904761904761904
Las Palmas,208,3894905,draw,0,16,0.9526907997460922,12.646070708751568,0.790379419296973,0.1351590106007067
Las Palmas,208,3894574,lost,0,16,0.9602636108746296,12.889600880897747,0.8056000550561092,0.1926782273603083
Las Palmas,208,3894668,lost,0,16,0.9490309877504731,12.287383448044338,0.7679614655027711,0.13402061855670103
Las Palmas,208,3894850,lost,0,16,0.95099404409112,12.384820542933939,0.7740512839333712,0.13388804841149773
Las Palmas,208,3894792,draw,0,16,0.9538877291700764,12.753472069690822,0.7970920043556764,0.13245492371705964
Las Palmas,208,3894650,draw,0,15,0.968068677566333,12.609048249353583,0.8406032166235722,0.17901234567901234
Las Palmas,208,3894539,lost,0,16,0.9449477265703209,12.22060358489722,0.7637877240560762,0.11687306501547988
Las Palmas,208,3894700,lost,0,13,0.9790812857725254,11.892619864932108,0.9148169126870852,0.21875
Las Palmas,208,3894567,lost,0,16,0.9619392582898536,13.242963247585855,0.827685202974116,0.1531791907514451
Las Palmas,208,3894823,lost,0,16,0.9541417610414846,12.707247149529813,0.7942029468456133,0.2541899441340782
Las Palmas,208,3894818,lost,0,16,0.9637259672301937,13.350359123454458,0.8343974452159036,0.13318112633181126
Las Palmas,208,3894889,draw,0,16,0.9413050842187197,12.067622118192688,0.754226382387043,0.1996124031007752
Las Palmas,208,3894710,lost,0,15,0.9545450462220717,12.0574376104078,0.8038291740271866,0.16117647058823528
Las Palmas,208,3894722,win,1,16,0.9508536392186309,12.671172269955779,0.7919482668722362,0.13922942206654992
Las Palmas,208,3894640,win,1,15,0.9550415603971406,12.032319887291543,0.8021546591527695,0.1543103448275862
Las Palmas,208,3894808,lost,0,16,0.9396197638419436,12.171302195730197,0.7607063872331373,0.14992826398852224
Las Palmas,208,3894885,win,1,14,0.9691178101916261,12.024514943618616,0.8588939245441869,0.17164179104477612
Las Palmas,208,3894878,lost,0,16,0.9462016095200954,12.051107424668487,0.7531942140417804,0.15605749486652978
Las Palmas,208,3894584,win,1,16,0.9441777826967812,12.497436705397568,0.781089794087348,0.17266949152542374
Las Palmas,208,3894834,lost,0,15,0.9252137011802564,10.851180366894967,0.7234120244596645,0.10305343511450382
Las Palmas,208,3894637,win,1,15,0.9529565332311682,11.769243969833607,0.7846162646555738,0.15
Las Palmas,208,3894532,draw,0,14,0.9515324658564984,11.203818734318691,0.8002727667370494,0.11825396825396825
Las Palmas,208,3894841,lost,0,16,0.9556709992069604,12.674539093225949,0.7921586933266218,0.09012345679012346
Las Palmas,208,3894783,draw,0,16,0.9414820822762684,12.051263543645856,0.753203971477866,0.1072961373390558
Las Palmas,208,3894750,draw,0,16,0.9355049161700786,11.967057522684222,0.7479410951677639,0.10432569974554708
Las Palmas,208,3894627,lost,0,16,0.9543762014307351,12.629200116622867,0.7893250072889292,0.16831683168316833
Las Palmas,208,3894684,win,1,13,0.9500042079231663,10.35166558080538,0.79628196775426,0.13457760314341846
Las Palmas,208,3894609,win,1,16,0.9643152569159622,13.303525575219702,0.8314703484512314,0.15208333333333332
Las Palmas,208,3894866,lost,0,16,0.9810931240514652,14.415099178282158,0.9009436986426349,0.14662447257383968
Las Palmas,208,3894777,lost,0,16,0.9476358023561301,12.06105133992434,0.7538157087452713,0.15069551777434312
Las Palmas,208,3894759,win,1,16,0.9261277824426257,11.69841584672051,0.7311509904200318,0.12355212355212356
Las Palmas,208,3894729,win,1,15,0.9321392915171721,10.851413670533,0.7234275780355334,0.17005545286506468
Las Palmas,208,3894551,draw,0,16,0.962654911220264,13.314222973870683,0.8321389358669177,0.18588469184890655
Las Palmas,208,3894597,lost,0,16,0.9702440259619398,13.556925707594292,0.8473078567246433,0.09941944847605225
Las Palmas,208,3894603,win,1,16,0.9451460392569944,12.043006320680956,0.7526878950425597,0.11352040816326531
Las Palmas,208,3894697,draw,0,15,0.9423396225933066,11.348583461402304,0.7565722307601537,0.16585760517799353
Las Palmas,208,3894676,win,1,14,0.9534115018005825,11.10586599348656,0.7932761423918971,0.1356749311294766
