n_nodes,n_edges,density,efficiency,clustering,avg_path_length,reciprocity,team,team_id,match_id,sf,ec,result,points
15,103,0.49047619047619045,0.8015873015873016,0.14464259153986542,1.6666666666666667,0.7572815533980582,Valencia,207,3894734,0.23803827751196172,0.223929967737702,win,3
15,96,0.45714285714285713,0.7904761904761904,0.16919315019073483,1.4190476190476191,0.7291666666666666,Valencia,207,3894782,0.2535612535612536,0.23452061181940148,win,3
16,92,0.38333333333333336,0.7666666666666667,0.24588555437845724,1.4666666666666666,0.6086956521739131,Valencia,207,3894724,0.2857142857142857,0.21851313638803133,win,3
15,99,0.4714285714285714,0.7904761904761907,0.13933453432699855,1.438095238095238,0.7474747474747475,Valencia,207,3894636,0.21678321678321677,0.2229452094234592,draw,1
15,83,0.3952380952380952,0.7531746031746033,0.16823663367958339,1.5333333333333334,0.6746987951807228,Valencia,207,3894695,0.2646239554317549,0.2201201536767901,draw,1
16,118,0.49166666666666664,0.7930555555555557,0.0722399048977746,1.6083333333333334,0.7966101694915254,Valencia,207,3894599,0.1842696629213483,0.21313711575225028,lost,0
16,127,0.5291666666666667,0.8291666666666667,0.13422019881162786,1.475,0.7559055118110236,Valencia,207,3894812,0.19696969696969696,0.2107504691525601,lost,0
15,124,0.5904761904761905,0.8476190476190476,0.1976030611976441,1.4142857142857144,0.8225806451612904,Valencia,207,3894556,0.1777583187390543,0.2304748732550062,lost,0
16,111,0.4625,0.7930555555555556,0.09411368738366611,1.5958333333333334,0.7207207207207207,Valencia,207,3894539,0.21534653465346534,0.1975324817099492,win,3
15,99,0.4714285714285714,0.8047619047619048,0.11078551087215724,1.5523809523809524,0.7070707070707071,Valencia,207,3894645,0.20495495495495494,0.2058960841070619,win,3
15,91,0.43333333333333335,0.7547619047619052,0.13706969988345483,1.542857142857143,0.7692307692307693,Valencia,207,3894833,0.27391304347826084,0.21558219666278505,win,3
15,100,0.47619047619047616,0.8047619047619048,0.12900374581208543,1.3904761904761904,0.72,Valencia,207,3894752,0.19285714285714287,0.21978838655318347,win,3
15,112,0.5333333333333333,0.8380952380952381,0.21462330734528798,1.4714285714285715,0.7321428571428571,Valencia,207,3894596,0.23237597911227154,0.22734644202709847,lost,0
16,126,0.525,0.8180555555555558,0.16109581685069216,1.5083333333333333,0.7777777777777778,Valencia,207,3894655,0.15625,0.21650432458972257,lost,0
16,119,0.49583333333333335,0.8083333333333333,0.10022782867796977,1.5333333333333334,0.7563025210084033,Valencia,207,3894562,0.16318785578747627,0.20483613495733222,draw,1
15,87,0.4142857142857143,0.7547619047619053,0.15332704050964485,1.5809523809523809,0.6666666666666666,Valencia,207,3894705,0.24393530997304583,0.21707157514220896,win,3
16,109,0.45416666666666666,0.7611111111111113,0.20549729510074582,1.5,0.8256880733944955,Valencia,207,3894901,0.17553191489361702,0.20770216274916917,lost,0
16,120,0.5,0.8208333333333333,0.11766522925948592,1.5,0.7166666666666667,Valencia,207,3894863,0.2127659574468085,0.20958720617478258,lost,0
15,119,0.5666666666666667,0.8285714285714286,0.09854370893963879,1.4476190476190476,0.8403361344537815,Valencia,207,3894740,0.15384615384615385,0.20490659471688252,lost,0
16,119,0.49583333333333335,0.8208333333333333,0.07010525605549607,1.5625,0.7058823529411765,Valencia,207,3894660,0.1880907372400756,0.1908090735481026,draw,1
16,117,0.4875,0.8069444444444444,0.12155036177180824,1.5708333333333333,0.7350427350427351,Valencia,207,3894828,0.18147448015122875,0.20216133544745363,draw,1
15,106,0.5047619047619047,0.819047619047619,0.08828480522519673,1.5380952380952382,0.7358490566037735,Valencia,207,3894876,0.23702830188679244,0.20758563988963974,draw,1
15,74,0.3523809523809524,0.7166666666666673,0.13417040907659464,1.6761904761904762,0.6216216216216216,Valencia,207,3894679,0.37244897959183676,0.22000570473205047,lost,0
16,81,0.3375,0.7430555555555556,0.2001977320290027,1.8541666666666667,0.5432098765432098,Valencia,207,3894854,0.33910891089108913,0.20602121235185808,lost,0
15,86,0.4095238095238095,0.7603174603174604,0.1284425907421294,1.7285714285714286,0.7209302325581395,Valencia,207,3894759,0.3091216216216216,0.22824418712521335,lost,0
15,110,0.5238095238095238,0.8063492063492065,0.09302176345768993,1.4,0.8181818181818182,Valencia,207,3894616,0.21734892787524365,0.2183297338577521,draw,1
15,101,0.48095238095238096,0.8079365079365081,0.1849885704896207,1.5857142857142856,0.7128712871287128,Valencia,207,3894795,0.23668639053254437,0.2231961498458873,draw,1
14,94,0.5164835164835165,0.8498168498168499,0.1434663681998332,1.3076923076923077,0.6382978723404256,Valencia,207,3894582,0.21428571428571427,0.23752550359702332,draw,1
16,119,0.49583333333333335,0.8125,0.25729566474730814,1.5375,0.7394957983193278,Valencia,207,3894891,0.15463917525773196,0.21874361992733407,lost,0
15,87,0.4142857142857143,0.7952380952380952,0.19929729565873255,1.7190476190476192,0.5747126436781609,Valencia,207,3894673,0.296,0.2215457117660926,lost,0
16,99,0.4125,0.7708333333333334,0.12661988102241498,1.6625,0.6868686868686869,Valencia,207,3894576,0.2369146005509642,0.2117791234807602,win,3
15,102,0.4857142857142857,0.7984126984126985,0.13437841319129656,1.4095238095238096,0.7647058823529411,Valencia,207,3894531,0.2603626943005181,0.2166901336981359,win,3
16,102,0.425,0.7750000000000002,0.11253904739933442,1.4666666666666666,0.6862745098039216,Valencia,207,3894805,0.22988505747126436,0.19807968411286872,win,3
16,131,0.5458333333333333,0.8333333333333334,0.12444409083423162,1.4833333333333334,0.7786259541984732,Valencia,207,3894847,0.18227091633466136,0.21294489856013976,lost,0
16,98,0.4083333333333333,0.7666666666666669,0.108741966650439,1.7458333333333333,0.6530612244897959,Valencia,207,3894714,0.18191964285714285,0.19866041831155068,win,3
15,102,0.4857142857142857,0.7888888888888889,0.07700583138365238,1.5714285714285714,0.803921568627451,Valencia,207,3894771,0.1426332288401254,0.20215104826228011,draw,1
16,116,0.48333333333333334,0.7916666666666666,0.1463082457826745,1.5583333333333333,0.7931034482758621,Valencia,207,3894881,0.2072892938496583,0.2137418678008835,lost,0
14,115,0.6318681318681318,0.8956043956043956,0.09380435915933939,1.3736263736263736,0.7478260869565218,Valencia,207,3894621,0.11904761904761904,0.22675944117022673,win,3
16,135,0.5625,0.825,0.1415775127680087,1.4541666666666666,0.8444444444444444,Las Palmas,208,3894905,0.1351590106007067,0.2104025872388312,draw,1
16,131,0.5458333333333333,0.825,0.09848959965251242,1.4625,0.8091603053435115,Las Palmas,208,3894574,0.1926782273603083,0.19328002603845762,lost,0
16,135,0.5625,0.8291666666666668,0.13961189453712414,1.375,0.8,Las Palmas,208,3894668,0.13402061855670103,0.21097746260205735,lost,0
16,142,0.5916666666666667,0.8458333333333333,0.09924511875918836,1.4083333333333334,0.8309859154929577,Las Palmas,208,3894850,0.13388804841149773,0.20476758053509153,lost,0
16,148,0.6166666666666667,0.8583333333333333,0.11287564876304425,1.3833333333333333,0.8378378378378378,Las Palmas,208,3894792,0.13245492371705964,0.19944422249262184,draw,1
15,126,0.6,0.8714285714285714,0.12111069261034299,1.4,0.7619047619047619,Las Palmas,208,3894650,0.17901234567901234,0.22784505997339782,draw,1
16,146,0.6083333333333333,0.8541666666666666,0.1274265171236021,1.3916666666666666,0.8356164383561644,Las Palmas,208,3894539,0.11687306501547988,0.20717854937065686,lost,0
13,109,0.6987179487179487,0.9038461538461539,0.2077072493682066,1.3012820512820513,0.8440366972477065,Las Palmas,208,3894700,0.21875,0.2601693641814003,lost,0
16,138,0.575,0.8541666666666666,0.1207952157494566,1.425,0.7681159420289855,Las Palmas,208,3894567,0.1531791907514451,0.2113068232109064,lost,0
16,108,0.45,0.8,0.1714145151286377,1.5625,0.6666666666666666,Las Palmas,208,3894823,0.2541899441340782,0.22081036959300554,lost,0
